ARO Accession	Name	Model ID	Model Type	Pathogen	NCBI Plasmid	NCBI WGS	NCBI Chromosome	NCBI Genomic Island	Criteria	ARO Categories
ARO:3002999	CblA-1	2	protein homolog model	Phocaeicola dorei	0	1.37	0	0	perfect	antibiotic inactivation; cephalosporin
ARO:3002999	CblA-1	2	protein homolog model	Phocaeicola dorei	0	1.37	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3003390	Escherichia coli ompF with mutation conferring resistance to beta-lactam antibiotics	3	protein variant model	Escherichia coli	0	0.01	0	0	perfect_strict	carbapenem; cephalosporin; cephamycin; monobactam; penam; penem; reduced permeability to antibiotic
ARO:3001109	SHV-52	4	protein homolog model	Klebsiella pneumoniae	0	0.33	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3001109	SHV-52	4	protein homolog model	Klebsiella pneumoniae	0	0.09	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3002867	dfrF	5	protein homolog model	Clostridium perfringens	0	0.31	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus pyogenes	0	0.21	0.4	9.09	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Clostridioides difficile	0	4.76	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus agalactiae	0	0.15	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Bifidobacterium breve	0	2.8	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterococcus faecalis	0	2.38	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus pyogenes	0	0.21	0.4	9.09	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Clostridioides difficile	0	5.39	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Bifidobacterium breve	0	2.8	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus pasteurianus	0	11.11	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterococcus faecium	0.08	18.91	37.25	3.92	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus pasteurianus	0	22.22	50	16.67	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus anginosus	0	5.33	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Bifidobacterium longum	0	3.54	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus anginosus	0	5.33	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Anaerostipes hadrus	0	7.41	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus suis	0	0.13	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus lutetiensis	0	7.69	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Bifidobacterium longum	0	2.83	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterococcus faecalis	0	2.75	0.89	4.17	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus lutetiensis	0	7.69	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus agalactiae	0	0.15	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Staphylococcus aureus	0	0.06	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Staphylococcus aureus	0	0.06	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterococcus faecium	0	0.74	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Anaerostipes hadrus	0	1.85	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus suis	0	0.84	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3001989	CTX-M-130	7	protein homolog model	Salmonella enterica	0	0.01	0	0	perfect	antibiotic inactivation; cephalosporin
ARO:3001989	CTX-M-130	7	protein homolog model	Escherichia coli	0	0.01	0	0	perfect	antibiotic inactivation; cephalosporin
ARO:3001989	CTX-M-130	7	protein homolog model	Escherichia fergusonii	0.4	0	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3001989	CTX-M-130	7	protein homolog model	Escherichia coli	0	0.02	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3001989	CTX-M-130	7	protein homolog model	Klebsiella pneumoniae	0	0.02	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3001989	CTX-M-130	7	protein homolog model	Salmonella enterica	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3002356	NDM-6	8	protein homolog model	Klebsiella pneumoniae	0.02	0	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Klebsiella pneumoniae	0.02	0	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Escherichia coli	0.01	0	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Escherichia coli	0.01	0	0	0.13	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Pseudomonas aeruginosa	0	0	0	2.78	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Klebsiella aerogenes	0	0.31	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Klebsiella aerogenes	0	0.31	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
