ARO Accession	Name	Model ID	Model Type	Pathogen	NCBI Plasmid	NCBI WGS	NCBI Chromosome	NCBI Genomic Island	Criteria	ARO Categories
ARO:3001989	CTX-M-130	7	protein homolog model	Escherichia coli	0	0.01	0	0	perfect	antibiotic inactivation; cephalosporin
ARO:3001989	CTX-M-130	7	protein homolog model	Escherichia coli	0	0.02	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3002356	NDM-6	8	protein homolog model	Escherichia coli	0.01	0	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Escherichia coli	0.01	0	0	0.13	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3000988	TEM-126	12	protein homolog model	Escherichia coli	0	0.03	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000928	TEM-59	15	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3002372	VEB-3	26	protein homolog model	Escherichia coli	0	0.01	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002372	VEB-3	26	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3002835	lnuA	27	protein homolog model	Escherichia coli	0	0.08	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3003109	msrE	33	protein homolog model	Escherichia coli	0.08	0.26	0.06	0	perfect	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3003109	msrE	33	protein homolog model	Escherichia coli	0.08	0.28	0.09	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3002804	FosA2	35	protein homolog model	Escherichia coli	0.02	0.02	0	0.13	perfect_strict	antibiotic inactivation; fosfomycin
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Acinetobacter baumannii	0	0.02	0	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Staphylococcus aureus	0	0.01	0	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Salmonella enterica	0	76.75	86.16	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Escherichia coli	0	74.65	61.46	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Klebsiella pneumoniae	0	0.05	0	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Pseudomonas aeruginosa	0	0.02	0	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Listeria monocytogenes	0	0.03	0	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Klebsiella oxytoca	0.95	0	0	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Shigella sonnei	0	95.19	100	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Shigella dysenteriae	0	96.43	90.91	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Shigella flexneri	0	83.33	100	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Citrobacter freundii	0.26	56.71	93.85	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Citrobacter amalonaticus	0	85.42	100	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Citrobacter koseri	0	46.67	100	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Stenotrophomonas maltophilia	0	0.2	0	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Enterobacter hormaechei	0.17	0.83	0.6	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Citrobacter werkmanii	0	100	100	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Citrobacter youngae	0	92.86	100	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Shigella boydii	0	95.7	100	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Citrobacter portucalensis	0	84	100	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Enterobacter roggenkampii	0	1.21	0	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Escherichia albertii	0	96.55	100	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Escherichia fergusonii	0	43.08	100	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3001328	Escherichia coli mdfA	37	protein homolog model	Escherichia marmotae	0	69.05	100	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; tetracycline antibiotic
ARO:3002528	AAC(3)-Ia	39	protein homolog model	Escherichia coli	0	0.02	0.06	0	perfect_strict	aminoglycoside antibiotic; antibiotic inactivation
ARO:3003550	mdtP	45	protein homolog model	Escherichia coli	0.03	74.57	61.26	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; nucleoside antibiotic
ARO:3003550	mdtP	45	protein homolog model	Escherichia coli	0	12.84	15.38	0	perfect	antibiotic efflux; disinfecting agents and antiseptics; nucleoside antibiotic
ARO:3000904	TEM-34	54	protein homolog model	Escherichia coli	0	0.02	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000904	TEM-34	54	protein homolog model	Escherichia coli	0.06	0.05	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3002053	CMY-42	62	protein homolog model	Escherichia coli	0.28	0.48	0	0	perfect_strict	antibiotic inactivation; cephalosporin; cephamycin
ARO:3002053	CMY-42	62	protein homolog model	Escherichia coli	0.2	0.46	0	0	perfect	antibiotic inactivation; cephalosporin; cephamycin
ARO:3002546	AAC(6')-Ib	63	protein homolog model	Escherichia coli	0	0.02	0	0	perfect	aminoglycoside antibiotic; antibiotic inactivation
ARO:3002546	AAC(6')-Ib	63	protein homolog model	Escherichia coli	0	0.02	0	0	perfect_strict	aminoglycoside antibiotic; antibiotic inactivation
ARO:3000996	TEM-132	68	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3002620	aadA23	69	protein homolog model	Escherichia coli	0	0.04	0.03	0	perfect	aminoglycoside antibiotic; antibiotic inactivation
ARO:3002620	aadA23	69	protein homolog model	Escherichia coli	0.02	0.23	0.03	0	perfect_strict	aminoglycoside antibiotic; antibiotic inactivation
ARO:3000916	TEM-47	77	protein homolog model	Escherichia coli	0	0.06	0	0.13	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000887	TEM-16	78	protein homolog model	Escherichia coli	0	0.06	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000965	TEM-102	86	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000979	TEM-116	87	protein homolog model	Escherichia coli	0.01	0.08	0.03	0	perfect	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000979	TEM-116	87	protein homolog model	Escherichia coli	0.01	0.14	0.03	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000508	gadX	91	protein homolog model	Escherichia coli	0	13.76	16.84	0.13	perfect	antibiotic efflux; fluoroquinolone antibiotic; macrolide antibiotic; penam
ARO:3000508	gadX	91	protein homolog model	Escherichia coli	0	73.97	60.49	0.13	perfect_strict	antibiotic efflux; fluoroquinolone antibiotic; macrolide antibiotic; penam
ARO:3002067	CMY-56	95	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephamycin
ARO:3000972	TEM-109	101	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3003209	fosA5	112	protein homolog model	Escherichia coli	0	0.02	0.03	0	perfect	antibiotic inactivation; fosfomycin
ARO:3003209	fosA5	112	protein homolog model	Escherichia coli	0	0.03	0.03	0	perfect_strict	antibiotic inactivation; fosfomycin
ARO:3002375	VEB-5	113	protein homolog model	Escherichia coli	0.01	0	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam
ARO:3002375	VEB-5	113	protein homolog model	Escherichia coli	0.01	0	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam
ARO:3000954	TEM-87	115	protein homolog model	Escherichia coli	0	0.03	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3002604	aadA4	120	protein homolog model	Escherichia coli	0	0.04	0	0	perfect_strict	aminoglycoside antibiotic; antibiotic inactivation
ARO:3000796	mdtF	121	protein homolog model	Escherichia coli	0	14.62	18.55	0	perfect	antibiotic efflux; fluoroquinolone antibiotic; macrolide antibiotic; penam
ARO:3000796	mdtF	121	protein homolog model	Escherichia coli	0	74.54	61.35	0.13	perfect_strict	antibiotic efflux; fluoroquinolone antibiotic; macrolide antibiotic; penam
ARO:3001045	TEM-183	126	protein homolog model	Escherichia coli	0.01	0.08	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3001912	CTX-M-50	131	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin
